OBJECTID,BdVal,BdName,Requests,Returns,PercentReturned,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
81,0235,DOVER,1189,939,0.789739,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1569508.38671875,5296.03349323779
82,0647,PINTO,2834,2203,0.777346,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5440350.890625,10682.2906048217
83,0168,CORRINE,2361,1574,0.666666,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744325.109375,7764.69036866376
84,0735,SARATOGA,1862,1511,0.811493,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2281642.65625,6409.90574944427
85,0372,HILLERY,2046,1486,0.726295,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3726255.640625,7693.76217447228
86,0845,TRADITIONS,2389,1931,0.808287,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4045727.58203125,8318.7549948484
87,0927,WOODGLEN,2736,1793,0.655336,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6905690.48828125,13277.0605476507
88,0434,LAREDO,2898,1952,0.673567,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3881787.171875,8017.93670559665
89,0111,CARRIAGE LANE,2383,1538,0.645404,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4197116.16796875,11197.3005229834
90,0038,ASPEN,827,490,0.592503,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1984917.71875,6244.92656863793
91,0175,COUNTRY GABLES,937,492,0.52508,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2200266.578125,6377.30363643022
92,0624,PEACH TREE,3332,2574,0.772509,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7466610.51171875,11579.2077519176
93,0314,GILA BEND,396,208,0.525252,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1064681350.04297,224927.209112363
94,0118,CENTENNIAL,1407,737,0.523809,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3722787.25390625,9646.73018634133
95,0078,BRONCO,3003,2305,0.767565,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14596705.7382813,15287.7990580415
96,0925,WOLF RUN,3175,2576,0.811338,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10889490.6992188,17816.0291743457
97,0026,APACHE WELLS,4046,3017,0.745674,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11171172.5273438,15437.4040372475
98,0911,WIGWAM CREEK,2606,1698,0.651573,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5396383.05859375,14313.1071008614
99,0266,ESCALANTE,2639,1287,0.487684,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3702616.80078125,7677.3552091309
100,0165,CORDOVA,801,331,0.413233,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2334715.46484375,6768.69545605381
101,0017,ALTADENA,1112,643,0.578237,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3508035.9375,7502.30958975723
102,0439,LASSEN,2681,1334,0.497575,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6730381.58984375,15562.7838904336
103,0302,GARDNER,2061,1274,0.618146,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5320095.26171875,11795.7572248626
104,0752,SHEFFIELD,339,211,0.622418,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4935434.9296875,11588.1069939011
105,0595,ORME,3304,1519,0.459745,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8650259.51171875,11956.6352461246
106,0454,LISBON,2875,1533,0.533217,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744170.21484375,7738.83710701192
107,0155,CONCORD,1465,990,0.675767,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867562.56640625,5796.90158470975
108,0293,FRANKLIN,2154,1135,0.526926,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3618798.21484375,7501.89499406508
109,0222,DESERT VISTA,1646,1119,0.679829,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2598696.88671875,8122.74522476132
110,0550,NORTERRA,3309,2111,0.637957,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,57659686.2265625,32616.7824931392
111,0336,GREENFIELD PARK,4205,2581,0.613793,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7284002.2265625,11359.9988977211
112,0733,SANTAN,788,434,0.550761,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4884034.14453125,11961.4572979512
113,0590,ORANGE TREE,1077,784,0.727948,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4594442.61328125,9636.25319881284
114,0897,WESTGREEN PARK,2236,1353,0.605098,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3178308.08203125,8719.89457062792
115,0541,MUMMY MOUNTAIN,2972,2146,0.722072,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5297067.34375,11705.0158049709
116,0795,SUMMERSTAR,1169,1012,0.865697,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2687893.33984375,7537.42298909282
117,0880,VOGEL,3240,1767,0.54537,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5606762.5546875,10846.0094932227
118,0852,TUCKEY,822,321,0.39051,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305324.0234375,7117.6216910919
119,0467,LOOKOUT RIDGE,2304,1874,0.813368,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11492148.6523438,18447.7976568075
120,0018,ALVARADO,1355,610,0.450184,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4500712.01171875,9117.46789587639
121,0640,PILGRIM,4420,2767,0.626018,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6555527.78515625,11302.7462005478
122,0442,LAVEEN MEADOWS,1877,975,0.519445,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4992543.0546875,9126.76790124747
123,0797,SUN CITY,2475,1988,0.803232,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5026034.39453125,13068.7413796702
124,0146,COLDWATER RIDGE,2896,1275,0.440262,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6159233.765625,10968.320327682
125,0091,CALAVAR,1212,724,0.597359,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1495197.58984375,5672.36689070803
126,0623,PAYNE,614,393,0.640065,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3704193.30859375,7575.4183804252
127,0662,PRINCESS,1532,997,0.650783,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9957599.21484375,13085.4975475625
128,0297,FRONTIER,4392,2845,0.647768,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9912432.80859375,17909.1559522368
129,0870,VERRADO,2536,1497,0.590299,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11911878.03125,14470.3311862501
130,0933,YUKON,1590,1239,0.779245,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2717358.359375,7304.51256515998
131,0422,KLEINMAN,3306,1501,0.454022,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6296697.47265625,11461.650262684
132,0077,BREWER,2428,1461,0.601729,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7636795.44140625,12478.8876281277
133,0052,BARNEY,2161,1127,0.521517,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3656186.546875,7648.06399679983
134,0908,WICKENBURG,3730,2774,0.743699,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1066978731.33984,183130.320473874
135,0709,ROTARY PARK,2570,1618,0.629571,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3701623.92578125,9559.57833410354
136,0770,SOSSAMAN,3673,2159,0.587802,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9007570.0859375,13043.9406058567
137,0335,GREENFIELD,2171,1093,0.503454,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3772050.6875,7791.31909978302
138,0810,SUNLAND VILLAGE,4675,3212,0.687058,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7328123.2421875,11471.2544152495
139,0138,CLIFFVIEW,1491,1207,0.809523,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2125892.21875,6755.14695121037
140,0533,MONTOYA,3485,2338,0.670875,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,12041028.2890625,15470.2882389953
141,0183,CREIGHTON,2654,1404,0.529012,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4581814.8828125,9544.7940311759
142,0284,FLOWER,1926,1268,0.658359,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,16066451.1914063,16156.9909117941
143,0299,GALVESTON,2983,1810,0.606771,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3601161.8359375,7614.93179817802
144,0321,GLENVIEW,2835,1940,0.684303,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5858200.2734375,13113.7212780093
145,0072,BOLERO,399,155,0.388471,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,754501.19921875,4669.86545834788
146,0296,FRIER,551,235,0.426497,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1880918.296875,5847.49628145977
147,0688,RIMROCK,2036,1609,0.790275,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3786512.91796875,7782.51762134858
148,0261,ENCANTO,2467,1951,0.790839,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5587094.0078125,9678.54952663113
149,0205,DENALI,2620,1496,0.570992,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3710411.93359375,7705.7618047468
150,0599,PAIUTE,2696,1656,0.614243,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3678364.10546875,9620.67769050737
151,0519,MIMOSA,3207,2744,0.855628,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6052013.25390625,11399.4074639654
152,0023,ANNETTE,2541,1600,0.629673,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4192931.75390625,10128.3414568241
153,0132,CITRUS,1981,1512,0.76325,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1889341.4140625,5829.40379331012
154,0350,HARMONT,3043,1609,0.528754,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5154841.3203125,10767.1532552709
155,0459,LOMA VERDES,1769,1345,0.760316,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15257941.34375,19573.7113096242
156,0751,SHEENA,2438,1759,0.721493,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4154468.91015625,10502.0161923858
157,0807,SUNDOWN,2038,1657,0.813052,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4316803.29296875,9866.58856937096
158,0148,COLONNADE,2598,1864,0.717474,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2932071.3984375,6951.23021342143
159,0398,IVANHOE,3466,2102,0.606462,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3684688.19140625,7678.29074192246
160,0796,SUN AIRE,2575,1606,0.623689,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7094189.00390625,11288.5305387959
161,0383,HOPE,2937,1396,0.475314,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5571203.953125,9633.47487669579
